"entity_id","state","last_changed"
"sensor.sigen_consumed_power","0.724","2025-09-16 02:08:00.000Z"
"sensor.sigen_consumed_power","0.729","2025-09-16 02:09:00.000Z"
"sensor.sigen_consumed_power","0.715","2025-09-16 02:10:00.000Z"
"sensor.sigen_consumed_power","0.736","2025-09-16 02:11:00.000Z"
"sensor.sigen_consumed_power","0.799","2025-09-16 02:12:00.000Z"
"sensor.sigen_consumed_power","0.8","2025-09-16 02:13:00.000Z"
"sensor.sigen_consumed_power","0.734","2025-09-16 02:14:00.000Z"
"sensor.sigen_consumed_power","0.733","2025-09-16 02:15:00.000Z"
"sensor.sigen_consumed_power","0.735","2025-09-16 02:16:00.000Z"
"sensor.sigen_consumed_power","0.737","2025-09-16 02:17:00.000Z"
"sensor.sigen_consumed_power","0.734","2025-09-16 02:18:00.000Z"
"sensor.sigen_consumed_power","0.744","2025-09-16 02:19:00.000Z"
"sensor.sigen_consumed_power","0.735","2025-09-16 02:20:00.000Z"
"sensor.sigen_consumed_power","0.728","2025-09-16 02:21:00.000Z"
"sensor.sigen_consumed_power","0.736","2025-09-16 02:22:00.000Z"
"sensor.sigen_consumed_power","0.752","2025-09-16 02:23:00.000Z"
"sensor.sigen_consumed_power","0.725","2025-09-16 02:24:00.000Z"
"sensor.sigen_consumed_power","0.719","2025-09-16 02:25:00.000Z"
"sensor.sigen_consumed_power","0.718","2025-09-16 02:26:00.000Z"
"sensor.sigen_consumed_power","0.716","2025-09-16 02:27:00.000Z"
"sensor.sigen_consumed_power","0.764","2025-09-16 02:28:00.000Z"
"sensor.sigen_consumed_power","0.733","2025-09-16 02:29:00.000Z"
"sensor.sigen_consumed_power","0.665","2025-09-16 02:30:00.000Z"
"sensor.sigen_consumed_power","0.6","2025-09-16 02:31:00.000Z"
"sensor.sigen_consumed_power","0.576","2025-09-16 02:32:00.000Z"
"sensor.sigen_consumed_power","0.578","2025-09-16 02:33:00.000Z"
"sensor.sigen_consumed_power","0.578","2025-09-16 02:34:00.000Z"
"sensor.sigen_consumed_power","0.583","2025-09-16 02:35:00.000Z"
"sensor.sigen_consumed_power","0.574","2025-09-16 02:36:00.000Z"
"sensor.sigen_consumed_power","0.575","2025-09-16 02:37:00.000Z"
"sensor.sigen_consumed_power","0.573","2025-09-16 02:38:00.000Z"
"sensor.sigen_consumed_power","0.577","2025-09-16 02:39:00.000Z"
"sensor.sigen_consumed_power","0.574","2025-09-16 02:40:00.000Z"
"sensor.sigen_consumed_power","0.568","2025-09-16 02:41:00.000Z"
"sensor.sigen_consumed_power","0.578","2025-09-16 02:42:00.000Z"
"sensor.sigen_consumed_power","0.576","2025-09-16 02:43:00.000Z"
"sensor.sigen_consumed_power","0.655","2025-09-16 02:44:00.000Z"
"sensor.sigen_consumed_power","0.644","2025-09-16 02:45:00.000Z"
"sensor.sigen_consumed_power","0.584","2025-09-16 02:46:00.000Z"
"sensor.sigen_consumed_power","0.579","2025-09-16 02:47:00.000Z"
"sensor.sigen_consumed_power","0.601","2025-09-16 02:48:00.000Z"
"sensor.sigen_consumed_power","0.607","2025-09-16 02:49:00.000Z"
"sensor.sigen_consumed_power","0.612","2025-09-16 02:50:00.000Z"
"sensor.sigen_consumed_power","0.621","2025-09-16 02:51:00.000Z"
"sensor.sigen_consumed_power","0.627","2025-09-16 02:52:00.000Z"
"sensor.sigen_consumed_power","0.629","2025-09-16 02:53:00.000Z"
"sensor.sigen_consumed_power","0.627","2025-09-16 02:54:00.000Z"
"sensor.sigen_consumed_power","0.629","2025-09-16 02:55:00.000Z"
"sensor.sigen_consumed_power","0.628","2025-09-16 02:56:00.000Z"
"sensor.sigen_consumed_power","0.628","2025-09-16 02:57:00.000Z"
"sensor.sigen_consumed_power","0.629","2025-09-16 02:58:00.000Z"
"sensor.sigen_consumed_power","0.628","2025-09-16 02:59:00.000Z"
"sensor.sigen_consumed_power","0.704","2025-09-16 03:00:00.000Z"
"sensor.sigen_consumed_power","0.705","2025-09-16 03:01:00.000Z"
"sensor.sigen_consumed_power","0.637","2025-09-16 03:02:00.000Z"
"sensor.sigen_consumed_power","0.64","2025-09-16 03:03:00.000Z"
"sensor.sigen_consumed_power","0.636","2025-09-16 03:04:00.000Z"
"sensor.sigen_consumed_power","0.634","2025-09-16 03:05:00.000Z"
"sensor.sigen_consumed_power","0.636","2025-09-16 03:06:00.000Z"
"sensor.sigen_consumed_power","0.619","2025-09-16 03:07:00.000Z"
"sensor.sigen_consumed_power","0.575","2025-09-16 03:08:00.000Z"
"sensor.sigen_consumed_power","0.577","2025-09-16 03:09:00.000Z"
"sensor.sigen_consumed_power","0.574","2025-09-16 03:10:00.000Z"
"sensor.sigen_consumed_power","0.578","2025-09-16 03:11:00.000Z"
"sensor.sigen_consumed_power","0.568","2025-09-16 03:12:00.000Z"
"sensor.sigen_consumed_power","0.578","2025-09-16 03:13:00.000Z"
"sensor.sigen_consumed_power","0.581","2025-09-16 03:14:00.000Z"
"sensor.sigen_consumed_power","0.581","2025-09-16 03:15:00.000Z"
"sensor.sigen_consumed_power","0.647","2025-09-16 03:16:00.000Z"
"sensor.sigen_consumed_power","0.637","2025-09-16 03:17:00.000Z"
"sensor.sigen_consumed_power","0.576","2025-09-16 03:18:00.000Z"
"sensor.sigen_consumed_power","0.577","2025-09-16 03:19:00.000Z"
"sensor.sigen_consumed_power","0.576","2025-09-16 03:20:00.000Z"
"sensor.sigen_consumed_power","0.58","2025-09-16 03:21:00.000Z"
"sensor.sigen_consumed_power","0.575","2025-09-16 03:22:00.000Z"
"sensor.sigen_consumed_power","0.578","2025-09-16 03:23:00.000Z"
"sensor.sigen_consumed_power","0.577","2025-09-16 03:24:00.000Z"
"sensor.sigen_consumed_power","0.577","2025-09-16 03:25:00.000Z"
"sensor.sigen_consumed_power","0.577","2025-09-16 03:26:00.000Z"
"sensor.sigen_consumed_power","0.59","2025-09-16 03:27:00.000Z"
"sensor.sigen_consumed_power","0.6","2025-09-16 03:28:00.000Z"
"sensor.sigen_consumed_power","0.605","2025-09-16 03:29:00.000Z"
"sensor.sigen_consumed_power","0.613","2025-09-16 03:30:00.000Z"
"sensor.sigen_consumed_power","0.615","2025-09-16 03:31:00.000Z"
"sensor.sigen_consumed_power","0.676","2025-09-16 03:32:00.000Z"
"sensor.sigen_consumed_power","0.688","2025-09-16 03:33:00.000Z"
"sensor.sigen_consumed_power","0.625","2025-09-16 03:34:00.000Z"
"sensor.sigen_consumed_power","0.625","2025-09-16 03:35:00.000Z"
"sensor.sigen_consumed_power","0.629","2025-09-16 03:36:00.000Z"
"sensor.sigen_consumed_power","0.628","2025-09-16 03:37:00.000Z"
"sensor.sigen_consumed_power","0.63","2025-09-16 03:38:00.000Z"
"sensor.sigen_consumed_power","0.628","2025-09-16 03:39:00.000Z"
"sensor.sigen_consumed_power","0.704","2025-09-16 03:40:00.000Z"
"sensor.sigen_consumed_power","0.725","2025-09-16 03:41:00.000Z"
"sensor.sigen_consumed_power","0.728","2025-09-16 03:42:00.000Z"
"sensor.sigen_consumed_power","0.728","2025-09-16 03:43:00.000Z"
"sensor.sigen_consumed_power","0.736","2025-09-16 03:44:00.000Z"
"sensor.sigen_consumed_power","0.73","2025-09-16 03:45:00.000Z"
"sensor.sigen_consumed_power","0.716","2025-09-16 03:46:00.000Z"
"sensor.sigen_consumed_power","0.679","2025-09-16 03:47:00.000Z"
"sensor.sigen_consumed_power","0.737","2025-09-16 03:48:00.000Z"
"sensor.sigen_consumed_power","0.739","2025-09-16 03:49:00.000Z"
"sensor.sigen_consumed_power","0.677","2025-09-16 03:50:00.000Z"
"sensor.sigen_consumed_power","0.682","2025-09-16 03:51:00.000Z"
"sensor.sigen_consumed_power","0.679","2025-09-16 03:52:00.000Z"
"sensor.sigen_consumed_power","0.672","2025-09-16 03:53:00.000Z"
"sensor.sigen_consumed_power","0.673","2025-09-16 03:54:00.000Z"
"sensor.sigen_consumed_power","0.677","2025-09-16 03:55:00.000Z"
"sensor.sigen_consumed_power","0.675","2025-09-16 03:56:00.000Z"
"sensor.sigen_consumed_power","0.675","2025-09-16 03:57:00.000Z"
"sensor.sigen_consumed_power","0.674","2025-09-16 03:58:00.000Z"
"sensor.sigen_consumed_power","0.67","2025-09-16 03:59:00.000Z"
"sensor.sigen_consumed_power","0.669","2025-09-16 04:00:00.000Z"
"sensor.sigen_consumed_power","0.669","2025-09-16 04:01:00.000Z"
"sensor.sigen_consumed_power","0.669","2025-09-16 04:02:00.000Z"
"sensor.sigen_consumed_power","0.666","2025-09-16 04:03:00.000Z"
"sensor.sigen_consumed_power","0.73","2025-09-16 04:04:00.000Z"
"sensor.sigen_consumed_power","0.732","2025-09-16 04:05:00.000Z"
"sensor.sigen_consumed_power","0.681","2025-09-16 04:06:00.000Z"
"sensor.sigen_consumed_power","0.692","2025-09-16 04:07:00.000Z"
"sensor.sigen_consumed_power","0.699","2025-09-16 04:08:00.000Z"
"sensor.sigen_consumed_power","0.71","2025-09-16 04:09:00.000Z"
"sensor.sigen_consumed_power","0.716","2025-09-16 04:10:00.000Z"
"sensor.sigen_consumed_power","0.715","2025-09-16 04:11:00.000Z"
"sensor.sigen_consumed_power","0.721","2025-09-16 04:12:00.000Z"
"sensor.sigen_consumed_power","0.722","2025-09-16 04:13:00.000Z"
"sensor.sigen_consumed_power","0.716","2025-09-16 04:14:00.000Z"
"sensor.sigen_consumed_power","0.724","2025-09-16 04:15:00.000Z"
"sensor.sigen_consumed_power","0.72","2025-09-16 04:16:00.000Z"
"sensor.sigen_consumed_power","0.718","2025-09-16 04:17:00.000Z"
"sensor.sigen_consumed_power","0.718","2025-09-16 04:18:00.000Z"
"sensor.sigen_consumed_power","0.723","2025-09-16 04:19:00.000Z"
"sensor.sigen_consumed_power","0.787","2025-09-16 04:20:00.000Z"
"sensor.sigen_consumed_power","0.781","2025-09-16 04:21:00.000Z"
"sensor.sigen_consumed_power","0.718","2025-09-16 04:22:00.000Z"
"sensor.sigen_consumed_power","0.716","2025-09-16 04:23:00.000Z"
"sensor.sigen_consumed_power","0.712","2025-09-16 04:24:00.000Z"
"sensor.sigen_consumed_power","0.693","2025-09-16 04:25:00.000Z"
"sensor.sigen_consumed_power","0.643","2025-09-16 04:26:00.000Z"
"sensor.sigen_consumed_power","0.579","2025-09-16 04:27:00.000Z"
"sensor.sigen_consumed_power","0.578","2025-09-16 04:28:00.000Z"
"sensor.sigen_consumed_power","0.577","2025-09-16 04:29:00.000Z"
"sensor.sigen_consumed_power","0.58","2025-09-16 04:30:00.000Z"
"sensor.sigen_consumed_power","0.576","2025-09-16 04:31:00.000Z"
"sensor.sigen_consumed_power","0.577","2025-09-16 04:32:00.000Z"
"sensor.sigen_consumed_power","0.578","2025-09-16 04:33:00.000Z"
"sensor.sigen_consumed_power","0.577","2025-09-16 04:34:00.000Z"
"sensor.sigen_consumed_power","0.576","2025-09-16 04:35:00.000Z"
"sensor.sigen_consumed_power","0.656","2025-09-16 04:36:00.000Z"
"sensor.sigen_consumed_power","0.63","2025-09-16 04:37:00.000Z"
